先,肌肉,痠痛,、,咳嗽,再,發燒,！,台灣,醫界,公布,：,吸,菸,者,感染,，,症狀,較,嚴重,！
新冠,肺炎,蔓延,…,日本,淪陷,！,吳淡,如,曝,「,東京,驚人,現況,」
首批,包機,台商,監測期,滿,！,「,18,日,早上,6,點,」,解除,隔離,　,143,位遊覽車,接回
安撫,領土,爭議,！,　,Google, ,maps,依用戶,IP,位址,「,劃分,國界,」
胡瓜,躺,地,手掌,撐起,1,女,「,閉眼,臉,漲紅,」,　,阿翔嚇,傻,：,在,開,玩笑,吧
畢書,盡,婚前,「,趕人,分手,」,爆內幕,！,　,8,年,舊,愛遭,酸民,攻擊,：,當事者,最,清楚
家人,手機響,...,雪橇犬,「,歪頭,2,次,」,眼睜大,　,下,秒,變,泰山,：,接電話,哦,～
HBL,／,永仁,贏球,牽動,局勢,　,攜手,南山,、,北一女,、,淡商進,4,強
《,我結,》,MC,突,爆料,！,　,有人,拍攝,途中,「,太心動,」,就,交往,了
長,跑,多年,情斷,...,卻,與,另一半,閃婚,！,網,「,這,例子,太,多,」,曝,2,關鍵,：,懂,自己,要,什麼
手排,BMW, ,M2,換檔,失誤,「,直接,搞掛,引擎,」,！,不到,1,秒,荷包,瞬間,大,失血
居家,檢疫,頻傳,失聯,　,柯文,哲再,撂,狠話,「,叫,你,隔,離,就,隔離,」
復,工災情,！,他,回,北京,上班,8,天確診,　,同事,食堂,一起,排隊,就,中標
《,想見,你,》,片頭,、,片尾,藏,魔鬼,細節,！,　,7,大線索,「,連著,看,」,解開,穿越,秘密
錢,準備,好,！,特,搜清邁,「,3,家超,便宜,藥妝店,」,　,藥草,牙膏,只要,10,元
中職,／,感謝,兄弟,談約,簽米蘭達,　,球探,艾迪,頓,：,團隊,合作
快訊,／,單親媽,攜兒,女摩鐵,輕生,！,小姊弟,雙亡,　,遺體,頸,部發,現勒痕
台北,燈節,明年,辦,在,南港,？,　,柯文,哲,：,針對,下雨,問題,開檢討會
家門,縫,被,塞,「,一包,五彩,寶石,」,　,他,估狗,秒,抖,：,有點,發毛,...,網狂,勸,母湯
「,血漿,療法,」,效果,顯著,…,9,位,重症,患,24hrs,「,症狀,減輕,」,！,20,位,染病,醫護獻血
台南,將軍區,北嘉,部落,雨水,下水道,工程,謝土,　,黃,偉哲,：,期望,完善,治水,防洪
快訊,／,天天,都,有,！,東京,再,傳,「,5,例確診,」,　,傳染,途徑,當局,立刻,嚴肅,了解
中職,／,林智勝,也,來,挑戰,《,Any, ,Song,》,！,球迷,驚,：,被,棒球,耽誤,的,舞者
黑鷹生,還中,將黃佑民,出院,　,調任,國防大學,副,校長
港府,正,安排,包機,赴,日本,　,免費,接回,鑽石,公主,號,300,多,港人
報,復,「,青年,運動,」,擊落,戰機,　,沙國,聯軍空襲,葉門,北部,...,31,平民,亡
回憶,發病,「,呼吸,困難,…,感覺,快,死,掉,」,！,新加坡,第,15,例,出院,　,曝,治療,心路,歷程
台南,將軍胡蘿,蔔,產業,文化,活動,　,黃,偉哲,：,台南,紅蘿,蔔,紅遍,全台灣
「,小明,」,無法,回台,是,歧視,？,　,柯文,哲避答,：,就,讓,他們,去,吵架,好,了
明起,擴大檢疫,！,14,天內,出國,回台,「,有,發燒,、,呼吸道,症狀,」,都,要,篩檢
捐,90,萬助,中國,抗疫,　,小賈,斯汀,錄,短片,喊,：,一定,可以,戰勝
確診,患者,停留,15hrs,！,南,韓安岩,醫院,急,診室,封閉,　,近,50,醫護及,病患,隔離,中
《,迫降,》,鄭萬福,追星,IU,成功,！,　,2,人單,獨在,電梯,：,居然,聽到,現場,演唱
戈登認,可瓊斯,實力,比肩,拉文,　,認為,自己,值得,2,座,灌,籃大賽,冠,軍
從小上,癮,！,寶寶吸貓,仰頭露,「,滿足,ㄎ,ㄧ,ㄤ,臉,」,　,網,讚,：,這個,有,前途
漫威,首位,男同志,英雄,！,出櫃,男星,證實,：,我們,結婚,了,　,「,黑白,配夫夫,吻,」,甜爆
駭客,入侵,奧運,和,國際,奧會,官方,帳號,　,推特,：,已,封鎖
厭世,女神,小松,菜奈,擄,獲,GD,的,3,個,秘密,　,不,忌口,、,不運動,也,能,超纖細
台中,新,城市,隊球員名,單出,爐,　,陳,敏,賜,、,彭名,宇入,選
ICAO,再,挺,中,！,新冠,肺炎,新聞稿,稱,「,台灣省,」
電子,手銬,防失聯,？,柯文,哲,：,改稱,「,科技,智慧,手環,」,大家,就,高興,接受
痛到,驚醒,！,　,半夜,腳,抽筋,「,3,招,自救,」,秒,舒緩,...,睡前,加穿,長,褲,、,襪子
帥氣,背影,不再,…,他,「,超愛扶,」,秒,噴裝,！,急,call, ,out,求後援,　,網笑,爆,：,滿地,找牙
馬,來,西亞,禁止,「,威士,特丹號,百名,乘客,」,入境,　,全面,拒絕,中國來,的,郵輪
德總統,指美中,俄,強權,「,危害,國際,秩序,」,！,　,蓬佩奧,回應,：,西方,將,一起,獲勝
鴻海將,在,台灣,自產,口罩,　,集團,聲明,：,確實,有,規劃
開心,出遊誤,搭,喪葬,專車, ,　,「,你,哪位,？,」,高雄,阿北殯,儀館,走一遭,糗,翻
隱瞞,大,女兒,從,武漢,回來,！,公務員,爸害,社區,1700,多戶,隔離,...,下場,出爐
日職,／,陽岱,鋼官,辦熱,身賽,5,局替,補上場,　,2,打數,無安打
她,上海,返台,搭高鐵,遭檢舉,罰,15,萬,　,中央,籲,撤罰,單,！,高,市府,：,依陳述,意見,審酌
禁陸,配子,女來,台,挨批,民粹,　,王定宇,嗆,馬,英九,：,到底,是,哪國,的,代言,者,？
新加坡,確診,72,例,！,　,神召會,恩典,堂,最大,感染,群
1,分鐘,做,21,次,「,蛇行,瑜珈,招式,」,　,印度,11,歲,女童,破,世界,紀錄
湖北,宣布,全省,「,最嚴,封閉,管理,」,　,關閉,公共,場所,「,居民,物資統,一,配送,」
資深,媒體,人,蔡玉真,嗆,尹衍,樑,：,公司,治理,援引,「,公司法,」,非,家法
「,咒,罵,官員得,肺炎,」, ,腳,踩,林,鄭抗議,「,與,疫同,住,」
鋪,滿生,魚片,與,海膽,的,華麗,另,類壽司,蛋糕,　,想,吃,要,提前,三天,預訂
福斯,8,代,柴油,「,Golf, ,GTD,」,曝光,　,大開口,氣壩,、,隱,藏式,霧燈,超殺
北市,萬華,2,天,2,起鬥毆,槍擊案,！,　,1,酒客,大腿,遭,射穿,...,警局,就,在,附近
鑽石,公主,號,355,確診,！,美加港,「,派,專機,救國民,」,　,澳洲,火速,籌備,中
小姐,弟,「,遭,餵,藥陳屍,摩鐵,」,遺體,相驗,中,...,家屬,雙手,合十,痛哭,！,單親媽,躺,醫院,昏睡
跟,警犬,玩自,拍,「,低頭,對,鏡頭,燦笑,」,　,警察,拍,完,這舉動,萌暈,3,萬人
「,再亂,講話,要給,妳,死,」,抓母頭,髮,撞,牆數,十次,致死,　,逆子,被判,8,年
HBL,／,助長,「,光,復,沒,喬楚,瑜,不行,」,風氣,　,教頭,激將法,奏效
桃園,網拍,工廠,大火,　,鐵皮,搭建,廠房,全毀,！,還好,假日,沒人,上班
重症,占,確診,比例,明顯,下降,！,陸衛健委,：,疫情,防控,「,效果,已經,顯現,」
防堵,新冠,肺炎,「,疫情,漏洞,」,！,專家,曝擬,「,擴大檢疫,」,：,3,大狀況,都,要,篩檢
好市,多常備品,被,掃光,！,她,驚呼,「,以前,都,沒人,買,」,…,網批,過度,聯想,：,關瘋,搶,啥事,？
居家,隔離,趴,趴,走,「,通緝犯,規格,尋人,」,！,徐國勇,：,強制,檢疫,所,設備,沒,你家,舒服
KTV,歡唱,4hrs,！,服務生,「,3,度,進門,發濕,紙巾,」,超,尷尬,　,店員,曝,原因,：,小費,只是,其次
徐國勇,探視,高雄,受傷,消防,員,「,醫療,費無須,擔心,」,　,家屬,：,不能,因設備,犧牲,！,　
台女,臉書,自爆,武漢,偷渡,回,台,　,假,帳號,成分,高,！,員警,到,公司,找人
宿主,都,是,蝙蝠,！,醫學界,研發,新冠,病毒,疫苗,　,過程,意外,找到,「,抗伊,波拉,強效,疫苗,」
國民黨,拚,兩岸,路線,改革,　,學者,批,搞,錯,方向,...,問題,在,「,權力,與,文化,」,　
新冠,肺炎,船上,蔓延,！,才,2,天,又,多,爆出,137,人,確診,「,公主,遊輪聲,明來,了,」
BL,神作,《,鳴鳥,不飛,》,觀眾,反應,爆裂,！,男主,下半身,遭,追問,：,好,變態,呢
日職,／,防疫,升級,！,火腿,禁,球迷,握手,送禮,、,巨人,要求,媒體,戴,口罩
一早,冒雨,排,口罩,！,大媽,call,兒解,壓縮,「,快點,來,」,　,反,嗆,13,字,惹怒,網,：,讓,她紅
跳,飛行傘,、,漫步,河畔,　,瑞士人,間,天堂,小鎮,「,茵,特拉,根,」,必玩,4,種,行程
大馬,「,潛水,天堂,」,仙本,那,暗夜,惡火,！,　,1,小時,內,燒光,12,棟,木屋
你,不是,真的,餓,！,嘴,饞,其實,另,有,原因,，,千萬,吃,飽,再,追劇
尼泊爾,「,專機,撤僑,175,人,」,啟動,14,天隔,離,　,衛生部,證實,：,班機,已,落地
認愛,不到,30,天,就,分手,　,前女友,控,「,半夜,被,Bii,趕走,分手,」,經紀,人,回應
火神,山醫院,2,建築工,確診,　,工頭,曝,：,隨地,大小便,「,口罩,越,發越,薄,！,」
「,全身,伽馬刀,」,發,明人,段,正澄,　,因新冠,肺炎,離世,...,享壽,86,歲
健保卡,旅遊,警示,擴及,星泰,　,第三,國,入境,資料,全都,露
高雄婦,低血糖,倒地,不斷,哀號,　,警,「,爬陽台,、,踹,門,」,救人
二樓,房,每天,涉水,進出,！,房客,住,8,個,月,「,我家,門前,有,小河,」,　,真相,曝光,超無奈
上萬人,穿,雨衣,超熱情,　,英國,珍寶馬,戲團,高空,火索,照常,演出
「,疫情,未了,雪上加霜,」,　,東非,蝗蟲,大,軍,「,直逼,大陸,邊境,」
台灣,太緊,張,or,日,、,星太,散漫,？,他,神解,各國,「,4,種,防疫,態度,」,被,推爆,：,悲哀,但,中肯
安宰賢,深夜,突發,：,請,忘,了,我,吧,！,　,「,黑眼圈,超深,」,粉絲,湧入,打氣
衛生,棉,都,沒,了,！,女醫護,「,血,和,尿,混,一起,」,狂流,　,苦忍,工作,8hrs,…,無奈公開,求援
BMW, ,3,系列,旅行,車,、,Scala,、,XC60,油耗,曝光,！,能源,局,1,月,測試,出爐
中職,／,以,自身,經驗,找球員,　,艾迪,頓,：,拿,總冠軍才,知道,我適,不,適合
黎巴嫩,跆拳,亞錦賽,因,疫情,延期,　,衝擊亞洲,U16,男籃待,觀察,　
影,／,鑽石,公主,號,「,感染率,逼近,10%,」,！,355,人確,診新冠,肺炎,　,中國,以外,最嚴,重疫區
太欠,吃,！,高雄現,做,爆漿,流沙,芋頭餅,　,還有,超,巨大,地瓜,球
減緩,疫情,向,其他,國家,擴散,　,WHO,秘書長,：,中國果,斷,遏止,疫情,傳播
怕,文鳥,餓,到,趕,回家,！,她,一開,燈見,3,陀,「,粉紅雞,屁股,」,　,網萌,翻,：,求,正面,	
查得,太嚴,了,！,通緝犯,出現,「,自首,潮,」,　,陸檢疫,意外,收,穫,　
泡,溫泉,還能,一秒,到,歐洲,！,九州,必訪,9,大景點,　,小,矮人村,美照,拍,起來
管理,費,「,欠繳,17,個,月,」,近,5,萬元,！,　,網,警告,「,管委,會,硬,起來,」,就,悲劇,：,變法,拍屋
Google,移除,500,個,Chrome,惡意,擴充,程式,　,用戶,已,下載,超過,170,萬次
幫,你,製,造,浪漫,！,高雄,求婚,聖地,海洋,微光,　,生日,還送,600,元試,管酒
別人,的,食物,照總是,比,較,美,！,掌握,構圖,、,角度,7,技巧,　,免濾鏡,也,能,拍出,高質,感
解惑,／,為,什麼,李子,維,、,王,詮勝長,一樣,？,　,《,想見,你,》,第,3,集,就,爆雷,！
少女,心滿滿,　,粉紅,佳人,來,報到,！,特,搜,北台,灣,4,處賞,櫻景點
湖北,荊州區,「,全封閉,管理,」,　,居民,全禁,外出,「,物資,3,天代購,一次,」
連中,2,張發票,！,她,一,看,秒,揪心,「,媽媽,好想你,」,　,萬人淚,：,報恩,的,孩子,，,會,再,回來
高雄,交通,宣導竟,出現,五星旗,！,廠商,重印,、,承辦員,警記,申誡,　
快訊,／,又,濕,又,冷,！,北北基,大雨,特報,來,了,　,今晚,急凍,「,17,縣市,爆冷,探,10,°,C,↓,」
3,寶媽,白家,綺,防疫,「,酒精,噴麥克風,」,　,呼籲,大家,別,恐慌,：,日子,還是,要過
不斷,更新,／,日媒,：,東京,再,增,5,人,感染,　,鑽石,公主,號累計,355,確診
癌症,新療法,！,結合,「,基因,與,免疫,治療,」,…,有望,治,癒,國人,10,大,死因,之一
正妹,主播,「,鏡頭,前,當場,脫內衣,」,！,　,NO, ,BRA,挑戰,「,真空,報新聞,」
醫護,人員,拚,生死,！, , ,湖南,官員,「,全家,落跑,泰國,」,被,批無恥
防疫,宅經濟,！,數位,金融,　,轉帳,、,換匯,、,辦卡,、,借貸,「,免上,銀行,」,搞定
廣告,旗,老,是,倒,在,鄰居車,上,！,　,他,疑惑,調監,視器,笑,翻,：,貓,真的,很,78
